                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     68,                0.96606,                0.84623,                 1.2795,                0.84398,                0.63214,                0.77132,                0.56948,                0.92585,                0.89208,                 1.3361,               0.005578,               0.005578,               0.005578
                     69,                0.96498,                0.83212,                 1.2852,                0.75799,                0.68929,                0.77043,                0.57488,                0.93883,                 0.8629,                 1.3458,               0.005512,               0.005512,               0.005512
                     70,                0.95917,                0.82225,                 1.2771,                0.77735,                0.66071,                0.77765,                0.58111,                0.94355,                0.85671,                 1.3544,               0.005446,               0.005446,               0.005446
                     71,                0.96928,                0.83685,                 1.2794,                0.75105,                0.72143,                0.77783,                0.58233,                0.92665,                0.84929,                 1.3351,                0.00538,                0.00538,                0.00538
                     72,                0.97264,                0.82432,                 1.2836,                0.83619,                0.62857,                0.76613,                0.57204,                0.94149,                 0.8587,                 1.3441,               0.005314,               0.005314,               0.005314
                     73,                0.95714,                0.82173,                 1.2739,                0.78431,                0.68214,                0.77014,                0.57853,                0.90339,                0.85322,                 1.3061,               0.005248,               0.005248,               0.005248
                     74,                0.95169,                0.80503,                 1.2716,                0.77534,                0.70255,                0.78373,                0.58472,                0.91273,                0.86148,                 1.3227,               0.005182,               0.005182,               0.005182
                     75,                0.95332,                0.81253,                 1.2726,                0.74684,                0.69286,                0.76011,                0.57254,                0.90792,                0.87818,                 1.3145,               0.005116,               0.005116,               0.005116
                     76,                0.94162,                0.80926,                 1.2662,                 0.7767,                0.70809,                0.76919,                0.57318,                 0.9063,                0.85892,                 1.3132,                0.00505,                0.00505,                0.00505
                     77,                0.95812,                0.80916,                 1.2704,                0.75751,                0.68929,                 0.7587,                0.58268,                 0.8926,                0.86427,                 1.3031,               0.004984,               0.004984,               0.004984
                     78,                0.97044,                0.81256,                 1.2698,                0.77169,                0.70016,                0.77989,                0.58693,                0.92124,                0.85564,                 1.3249,               0.004918,               0.004918,               0.004918
                     79,                0.93683,                0.79137,                 1.2618,                0.70553,                0.74643,                0.77235,                  0.575,                0.91706,                0.88006,                 1.3038,               0.004852,               0.004852,               0.004852
                     80,                0.94287,                0.79514,                 1.2638,                0.73558,                0.73929,                0.77648,                0.57938,                0.92525,                0.88492,                 1.3294,               0.004786,               0.004786,               0.004786
                     81,                0.93901,                0.80458,                  1.255,                0.73218,                0.74203,                0.78405,                0.58383,                0.88761,                0.86345,                 1.2791,                0.00472,                0.00472,                0.00472
                     82,                0.93207,                0.78511,                 1.2536,                0.75235,                0.71611,                0.77862,                0.59076,                0.88299,                0.85246,                  1.279,               0.004654,               0.004654,               0.004654
                     83,                0.93711,                0.79146,                 1.2559,                0.77478,                0.70031,                0.78359,                0.59148,                0.89882,                0.84371,                  1.299,               0.004588,               0.004588,               0.004588
                     84,                0.92463,                0.77259,                 1.2498,                0.75524,                0.71633,                0.78063,                0.59171,                0.87909,                0.84079,                 1.2805,               0.004522,               0.004522,               0.004522
                     85,                0.93294,                0.77665,                 1.2493,                0.70559,                0.77143,                0.78624,                0.59322,                0.88077,                0.84998,                 1.2865,               0.004456,               0.004456,               0.004456
                     86,                0.93011,                0.76679,                 1.2465,                0.72976,                0.73929,                0.78179,                0.59466,                0.89523,                0.86652,                 1.3016,                0.00439,                0.00439,                0.00439
                     87,                0.91578,                 0.7571,                 1.2421,                0.71038,                0.76213,                 0.7885,                 0.5941,                0.90594,                0.86178,                 1.3131,               0.004324,               0.004324,               0.004324
                     88,                0.92238,                0.75703,                 1.2488,                0.74173,                   0.75,                0.77976,                0.58603,                0.90598,                0.86201,                 1.3095,               0.004258,               0.004258,               0.004258
                     89,                0.93619,                0.77011,                  1.257,                 0.7204,                0.75458,                0.77645,                0.59299,                0.89522,                0.88203,                  1.291,               0.004192,               0.004192,               0.004192
                     90,                0.92689,                0.75982,                 1.2495,                 0.7076,                0.76429,                0.78424,                0.59584,                0.88766,                0.87243,                 1.2863,               0.004126,               0.004126,               0.004126
